subset,rul_bucket,rank,sensor_id,symbol,quantity,units,subsystem,total_abs_shap
FD003,warning zone (RUL <= 30),9,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.3083334385690453
FD003,warning zone (RUL <= 30),10,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.2858936891944806
FD003,warning zone (RUL <= 30),11,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.28011637444441095
FD003,warning zone (RUL <= 30),12,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.2792876567309203
FD003,warning zone (RUL <= 30),13,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.2707503427762818
FD003,warning zone (RUL <= 30),14,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.20308163176156468
FD003,warning zone (RUL <= 30),15,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.18163574938767935
FD003,warning zone (RUL <= 30),16,sensor_8,Nf,Physical fan speed,rpm,Fan,0.14514185389894396
FD004,overall,1,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.23115629717972733
FD004,overall,2,sensor_16,farB,Burner fuel-air ratio,—,Combustor,0.2295583146852966
FD004,overall,3,sensor_9,Nc,Physical core speed,rpm,Core,0.22532038115286215
FD004,overall,4,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.2006484894046966
FD004,overall,5,sensor_15,BPR,Bypass ratio,—,Performance,0.19648693566589753
FD004,overall,6,sensor_10,epr,Engine pressure ratio (P50/P2),—,Performance,0.1963320969026545
FD004,overall,7,sensor_8,Nf,Physical fan speed,rpm,Fan,0.19006037555303476
FD004,overall,8,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.1887583736268543
FD004,overall,9,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.18452212080633146
FD004,overall,10,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.18366212162126044
FD004,overall,11,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.18231520127612996
FD004,overall,12,sensor_14,NRc,Corrected core speed,rpm,Core,0.17508839672951063
FD004,overall,13,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.16972746682184137
FD004,overall,14,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.16668271557803208
FD004,overall,15,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.1610911257696416
FD004,overall,16,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.15568116420695488
FD004,overall,17,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.15370898457421137
FD004,mid-life (RUL > 80),1,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.1922092133716274
FD004,mid-life (RUL > 80),2,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.1912137496834091
FD004,mid-life (RUL > 80),3,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.17608378047297998
FD004,mid-life (RUL > 80),4,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.17591455653019009
FD004,mid-life (RUL > 80),5,sensor_9,Nc,Physical core speed,rpm,Core,0.172628804255377
FD004,mid-life (RUL > 80),6,sensor_10,epr,Engine pressure ratio (P50/P2),—,Performance,0.16772498727062796
FD004,mid-life (RUL > 80),7,sensor_16,farB,Burner fuel-air ratio,—,Combustor,0.16456054358998967
FD004,mid-life (RUL > 80),8,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.15762059218953528
FD004,mid-life (RUL > 80),9,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.15707780637291877
FD004,mid-life (RUL > 80),10,sensor_15,BPR,Bypass ratio,—,Performance,0.15575463055173683
FD004,mid-life (RUL > 80),11,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.15158374340297195
FD004,mid-life (RUL > 80),12,sensor_8,Nf,Physical fan speed,rpm,Fan,0.14738088193824794
FD004,mid-life (RUL > 80),13,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.14423305298305594
FD004,mid-life (RUL > 80),14,sensor_14,NRc,Corrected core speed,rpm,Core,0.14410390375006493
FD004,mid-life (RUL > 80),15,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.1419062573913481
FD004,mid-life (RUL > 80),16,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.13908238667082753
FD004,mid-life (RUL > 80),17,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.10984390885539518
FD004,pre-warning (30 < RUL <= 80),1,sensor_16,farB,Burner fuel-air ratio,—,Combustor,0.2843374851944604
FD004,pre-warning (30 < RUL <= 80),2,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.2767453738440597
FD004,pre-warning (30 < RUL <= 80),3,sensor_9,Nc,Physical core speed,rpm,Core,0.2702557325458139
FD004,pre-warning (30 < RUL <= 80),4,sensor_15,BPR,Bypass ratio,—,Performance,0.23936625043414916
FD004,pre-warning (30 < RUL <= 80),5,sensor_21,W32,LPT coolant bleed,lbm/s,LPT,0.22657154795762266
FD004,pre-warning (30 < RUL <= 80),6,sensor_8,Nf,Physical fan speed,rpm,Fan,0.2229323749751954
